ID,Name,Tags,Services,Availability,Description,Alternates,Keywords,Warnings
TOA_SW_DNI_MIN,Top-Of-Atmosphere Shortwave Direct Normal Radiation Minimum,"official,radiation","api,aws","monthly,annual,climatology",The minimum total solar irradiance incident (direct plus diffuse) on a horizontal plane where oriented to the sun's position at the top of the atmosphere (extraterrestrial radiation).,,,
TOA_SW_DNI_SD,Top-Of-Atmosphere Shortwave Direct Normal Radiation Standard Deviation,"official,radiation","api,aws","monthly,annual,climatology",The standard deviation of total solar irradiance incident (direct plus diffuse) on a horizontal plane where oriented to the sun's position at the top of the atmosphere (extraterrestrial radiation).,,,
TOA_SW_DWN_MAX,Top-Of-Atmosphere Shortwave Downward Irradiance Maximum,"official,radiation","api,aws","monthly,annual,climatology",The maximum total solar irradiance incident (direct plus diffuse) on a horizontal plane at the top of the atmosphere (extraterrestrial radiation).,,,
TOA_SW_DWN_MIN,Top-Of-Atmosphere Shortwave Downward Irradiance Minimum,"official,radiation","api,aws","monthly,annual,climatology",The minimum total solar irradiance incident (direct plus diffuse) on a horizontal plane at the top of the atmosphere (extraterrestrial radiation).,,,
TOA_SW_DWN_SD,Top-Of-Atmosphere Shortwave Downward Irradiance Standard Deviation,"official,radiation","api,aws","monthly,annual,climatology",The standard deviation of total solar irradiance incident (direct plus diffuse) on a horizontal plane at the top of the atmosphere (extraterrestrial radiation).,,,
TQV,Total Column Precipitable Water,"official,nrt,meteorology","api,gis,aws","hourly,daily,monthly,annual,climatology","The total atmospheric water vapor contained in a vertical column of unit cross-sectional area extending from the surface to the top of the atmosphere, sourced from the GMAO.","Precipitable Water,Integrated Water Vapor,Total Precipitable Water,Column Water Vapor","Precipitable Water,Integrated Water Vapor,Total Precipitable Water,Column Water Vapor",
TROPPB,Tropopause Pressure based on blended estimate.,"official,nrt,meteorology","api,aws","hourly,daily,monthly,annual,climatology",The tropopause pressure based on the blended estimate.,"Tropopause Pressure Level,Tropopause Height Pressure,Thermal Tropopause Pressure","Tropopause Pressure Level,Tropopause Height Pressure,Thermal Tropopause Pressure",
TROPQ,Tropopause Specific Humidity using blended TROPP estimate.,"official,nrt,meteorology","api,aws","hourly,daily,monthly,annual,climatology",The ratio of the mass of water vapor to the total mass of air at the tropopause pressure given by TROPPB.,"Tropopause Water Vapor,Specific Humidity at Tropopause,Tropopause Moisture","Tropopause Water Vapor,Specific Humidity at Tropopause,Tropopause Moisture",
TROPT,Tropopause Temperature using blended TROPP estimate.,"official,nrt,meteorology","api,aws","hourly,daily,monthly,annual,climatology",The air (dry bulb) temperature at the tropopause pressure given by TROPPB.,"Tropopause Temperature Level,Temperature at Tropopause","Tropopause Temperature Level,Temperature at Tropopause",
TSOIL1,Soil Temperatures Layer 1,"official,nrt,meteorology","api,aws","hourly,daily,monthly,annual,climatology",The estimate of soil temperatures at layer 1; 0.018 to 0.0988 m depth.,"Shallow Soil Temperature,Soil Temperature Layer 1,Near-Surface Soil Temperature,Topsoil Temperature","Shallow Soil Temperature,Soil Temperature Layer 1,Near-Surface Soil Temperature,Topsoil Temperature",
TSOIL2,Soil Temperatures Layer 2,"official,nrt,meteorology","api,aws","hourly,daily,monthly,annual,climatology",The estimate of soil temperatures at layer 2; 0.0988 to 0.294 m depth.,"Soil Temperature Layer 2,Root-Zone Soil Temperature,Subsurface Soil Temperature","Soil Temperature Layer 2,Root-Zone Soil Temperature,Subsurface Soil Temperature",
TSOIL3,Soil Temperatures Layer 3,"official,nrt,meteorology","api,aws","hourly,daily,monthly,annual,climatology",The estimate of soil temperatures at layer 3; 0.294 to 0.6799 m depth.,"Soil Temperature Layer 3,Mid-Root-Zone Soil Temperature,Intermediate Soil Temperature","Soil Temperature Layer 3,Mid-Root-Zone Soil Temperature,Intermediate Soil Temperature",
TSOIL4,Soil Temperatures Layer 4,"official,nrt,meteorology","api,aws","hourly,daily,monthly,annual,climatology",The estimate of soil temperatures at layer 4; 0.6799 to 1.4425 m depth.,"Soil Temperature Layer 4,Deep Root-Zone Soil Temperature","Soil Temperature Layer 4,Deep Root-Zone Soil Temperature",
TSOIL5,Soil Temperatures Layer 5,"official,nrt,meteorology","api,aws","hourly,daily,monthly,annual,climatology",The estimate of soil temperatures at layer 5; 1.4425 to 2.949 m depth.,"Soil Temperature Layer 5,Deep Soil Temperature","Soil Temperature Layer 5,Deep Soil Temperature",
TSOIL6,Soil Temperatures Layer 6,"official,nrt,meteorology","api,aws","hourly,daily,monthly,annual,climatology",The estimate of soil temperatures at layer 6; 2.949 to 10.0 m depth.,"Soil Temperature Layer 6,Deep Subsurface Temperature,Bottom-Layer Soil Temperature","Soil Temperature Layer 6,Deep Subsurface Temperature,Bottom-Layer Soil Temperature",
TSURF,Surface Temperature of Land and Snow,"official,nrt,meteorology","api,aws","hourly,daily,monthly,annual,climatology", The estimate of surface temperature of land and snow; 0 to 0.018 m depth.,"Ground Surface Temperature,Land Surface Temperature,Ground Temperature","Ground Surface Temperature,Land Surface Temperature,Ground Temperature",
TS_ADJ,Earth Skin Temperature Adjusted,"official,meteorology","api,gis,aws","hourly,daily,monthly,annual,climatology",The adjusted average temperature at the earth's surface. Adjusted refers to CERES source parameter.,"Adjusted Surface Temperature,Corrected Skin Temperature,Bias-Adjusted Land Surface Temperature","Adjusted Surface Temperature,Corrected Skin Temperature,Bias-Adjusted Land Surface Temperature",
TS_AMP,Earth Skin Temperature Amplitude,"official,meteorology","api,aws",climatology,For each month the earth skin temperature amplitude is one half of the difference between the monthly average minimum and maximum or equivalently one half the skin temperature range.,"Surface Temperature Diurnal Amplitude,Skin Temperature Amplitude","Surface Temperature Diurnal Amplitude,Skin Temperature Amplitude",
TS_MAX_AVG,Earth Skin Temperature Maximum Average,"official,meteorology","api,aws","monthly,annual,climatology",The average of the daily maximum earth skin temperature in the period of interest.,"Mean Maximum Skin Temperature,Average Peak Surface Temperature","Mean Maximum Skin Temperature,Average Peak Surface Temperature",
TS_MIN_AVG,Earth Skin Temperature Minimum Average,"official,meteorology","api,aws","monthly,annual,climatology",The average of the daily minimum earth skin temperature in the period of interest.,"Mean Minimum Skin Temperature,Average Low Surface Temperature","Mean Minimum Skin Temperature,Average Low Surface Temperature",
TS_RANGE,Earth Skin Temperature Range,"official,nrt,meteorology","api,aws","daily,monthly,annual,climatology",The minimum and maximum hourly earth skin temperature range in the period of interest.,"Surface Temperature Diurnal Range,Skin Temperature Range","Surface Temperature Diurnal Range,Skin Temperature Range",
T_ZONES,Climate Thermal Zones,"official,meteorology","api,aws",climatology,The ASHRAE® climate thermal zones used to support building energy efficiency.,"Temperature Climate Zones,Thermal Classification Zones,ASHRAE Temperature Zone,Thermal Climate Region","Temperature Climate Zones,Thermal Classification Zones,ASHRAE Temperature Zone,Thermal Climate Region",
U2M,Eastward Wind at 2 Meters,"official,nrt,meteorology,warning","api,aws","hourly,daily,monthly,annual,climatology",The estimate of the eastward wind average speed for winds blowing 2 meters above the surface of the earth.,"Zonal Wind at 2 Meters,U-Component of Wind at 2m,East-West Wind Component at 2m","Zonal Wind at 2 Meters,U-Component of Wind at 2m,East-West Wind Component at 2m","The eastward wind component is provided from an average of a large area and may not represent a point location due to surface properties, elevation changes, and local weather phenomena."
U50M,Eastward Wind at 50 Meters,"official,nrt,meteorology,warning","api,aws","hourly,daily,monthly,annual,climatology",The estimate of the eastward wind average speed for winds blowing 50 meters above the surface of the earth.,"Zonal Wind at 50 Meters,U-Component of Wind at 50m,East-West Wind Component at 50m","Zonal Wind at 50 Meters,U-Component of Wind at 50m,East-West Wind Component at 50m","The eastward wind component is provided from an average of a large area and may not represent a point location due to surface properties, elevation changes, and local weather phenomena."
V2M,Northward Wind at 2 Meters,"official,nrt,meteorology,warning","api,aws","hourly,daily,monthly,annual,climatology",The estimate of the northward wind average speed for winds blowing 2 meters above the surface of the earth.,"Meridional Wind at 2 Meters,V-Component of Wind at 2m,North-South Wind Component at 2m","Meridional Wind at 2 Meters,V-Component of Wind at 2m,North-South Wind Component at 2m","The northward wind component is provided from an average of a large area and may not represent a point location due to surface properties, elevation changes, and local weather phenomena."
V50M,Northward Wind at 50 Meters,"official,nrt,meteorology,warning","api,aws","hourly,daily,monthly,annual,climatology",The estimate of the northward wind average speed for winds blowing 50 meters above the surface of the earth.,"Meridional Wind at 50 Meters,V-Component of Wind at 50m,North-South Wind Component at 50m","Meridional Wind at 50 Meters,V-Component of Wind at 50m,North-South Wind Component at 50m","The northward wind component is provided from an average of a large area and may not represent a point location due to surface properties, elevation changes, and local weather phenomena."
WS10M_MAX_AVG,Wind Speed at 10 Meters Maximum Average,"official,meteorology,warning","api,aws","monthly,annual,climatology",The average of the maximum daily wind speed at 10 meters above the surface of the earth.,"Mean Maximum Wind Speed at 10 Meters,Average Peak Surface Wind","Mean Maximum Wind Speed at 10 Meters,Average Peak Surface Wind","Wind speed is provided from an average of a large area and may not represent a point location due to surface properties, elevation changes, and local weather phenomena."
WS10M_MIN_AVG,Wind Speed at 10 Meters Minimum Average,"official,meteorology,warning","api,aws","monthly,annual,climatology",The average of the minimum daily wind speed at 10 meters above the surface of the earth.,"Mean Minimum Wind Speed at 10 Meters,Average Calm Surface Wind","Mean Minimum Wind Speed at 10 Meters,Average Calm Surface Wind","Wind speed is provided from an average of a large area and may not represent a point location due to surface properties, elevation changes, and local weather phenomena."
WS2M_MAX_AVG,Wind Speed at 2 Meters Maximum Average,"official,meteorology,warning","api,aws","monthly,annual,climatology",The average of the maximum daily wind speed at 2 meters above the surface of the earth.,"Mean Maximum Wind Speed at 2 Meters,Average Peak Wind at 2m","Mean Maximum Wind Speed at 2 Meters,Average Peak Wind at 2m","Wind speed is provided from an average of a large area and may not represent a point location due to surface properties, elevation changes, and local weather phenomena."
WS2M_MIN_AVG,Wind Speed at 2 Meters Minimum Average,"official,meteorology,warning","api,aws","monthly,annual,climatology",The average of the minimum daily wind speed at 2 meters above the surface of the earth.,"Mean Minimum Wind Speed at 2 Meters,Average Calm Wind at 2m","Mean Minimum Wind Speed at 2 Meters,Average Calm Wind at 2m","Wind speed is provided from an average of a large area and may not represent a point location due to surface properties, elevation changes, and local weather phenomena."
WS50M_MAX_AVG,Wind Speed at 50 Meters Maximum Average,"official,meteorology,warning","api,aws","monthly,annual,climatology",The average of the maximum daily wind speed at 50 meters above the surface of the earth.,"Mean Maximum Wind Speed at 50 Meters,Average Peak Hub-Height Wind","Mean Maximum Wind Speed at 50 Meters,Average Peak Hub-Height Wind","Wind speed is provided from an average of a large area and may not represent a point location due to surface properties, elevation changes, and local weather phenomena."
WS50M_MIN_AVG,Wind Speed at 50 Meters Minimum Average,"official,meteorology,warning","api,aws","monthly,annual,climatology",The average of the minimum daily wind speed at 50 meters above the surface of the earth.,"Mean Minimum Wind Speed at 50 Meters,Average Calm Hub-Height Wind","Mean Minimum Wind Speed at 50 Meters,Average Calm Hub-Height Wind","Wind speed is provided from an average of a large area and may not represent a point location due to surface properties, elevation changes, and local weather phenomena."
Z0M,Surface Roughness,"official,nrt,meteorology","api,aws","hourly,daily,monthly,annual,climatology",The height above the displacement plane at which the mean wind becomes zero when extrapolating the logarithmic wind speed profile downward through the surface layer.,"Aerodynamic Roughness Length,Roughness Length for Momentum,Surface Roughness Length,Terrain Roughness Parameter","Aerodynamic Roughness Length,Roughness Length for Momentum,Surface Roughness Length,Terrain Roughness Parameter",
